ts,open,high,low,close,volume
1907-03-01,8.35,8.35,8.35,8.35,0.0
1907-04-01,8.39,8.39,8.39,8.39,0.0
1907-05-01,8.1,8.1,8.1,8.1,0.0
1907-06-01,7.84,7.84,7.84,7.84,0.0
1907-07-01,8.14,8.14,8.14,8.14,0.0
1907-08-01,7.53,7.53,7.53,7.53,0.0
1907-09-01,7.45,7.45,7.45,7.45,0.0
1907-10-01,6.64,6.64,6.64,6.64,0.0
1907-11-01,6.25,6.25,6.25,6.25,0.0
1907-12-01,6.57,6.57,6.57,6.57,0.0
1908-01-01,6.85,6.85,6.85,6.85,0.0
1908-02-01,6.6,6.6,6.6,6.6,0.0
1908-03-01,6.87,6.87,6.87,6.87,0.0
1908-04-01,7.24,7.24,7.24,7.24,0.0
1908-05-01,7.63,7.63,7.63,7.63,0.0
1908-06-01,7.64,7.64,7.64,7.64,0.0
1908-07-01,7.92,7.92,7.92,7.92,0.0
1908-08-01,8.26,8.26,8.26,8.26,0.0
1908-09-01,8.17,8.17,8.17,8.17,0.0
1908-10-01,8.27,8.27,8.27,8.27,0.0
1908-11-01,8.83,8.83,8.83,8.83,0.0
1908-12-01,9.03,9.03,9.03,9.03,0.0
1909-01-01,9.06,9.06,9.06,9.06,0.0
1909-02-01,8.8,8.8,8.8,8.8,0.0
1909-03-01,8.92,8.92,8.92,8.92,0.0
1909-04-01,9.32,9.32,9.32,9.32,0.0
1909-05-01,9.63,9.63,9.63,9.63,0.0
1909-06-01,9.8,9.8,9.8,9.8,0.0
1909-07-01,9.94,9.94,9.94,9.94,0.0
1909-08-01,10.18,10.18,10.18,10.18,0.0
1909-09-01,10.19,10.19,10.19,10.19,0.0
1909-10-01,10.23,10.23,10.23,10.23,0.0
1909-11-01,10.18,10.18,10.18,10.18,0.0
1909-12-01,10.3,10.3,10.3,10.3,0.0
1910-01-01,10.08,10.08,10.08,10.08,0.0
1910-02-01,9.72,9.72,9.72,9.72,0.0
1910-03-01,9.96,9.96,9.96,9.96,0.0
1910-04-01,9.72,9.72,9.72,9.72,0.0
1910-05-01,9.56,9.56,9.56,9.56,0.0
1910-06-01,9.1,9.1,9.1,9.1,0.0
1910-07-01,8.64,8.64,8.64,8.64,0.0
1910-08-01,8.85,8.85,8.85,8.85,0.0
1910-09-01,8.91,8.91,8.91,8.91,0.0
1910-10-01,9.32,9.32,9.32,9.32,0.0
1910-11-01,9.31,9.31,9.31,9.31,0.0
1910-12-01,9.05,9.05,9.05,9.05,0.0
1911-01-01,9.27,9.27,9.27,9.27,0.0
1911-02-01,9.43,9.43,9.43,9.43,0.0
1911-03-01,9.32,9.32,9.32,9.32,0.0
1911-04-01,9.28,9.28,9.28,9.28,0.0
1911-05-01,9.48,9.48,9.48,9.48,0.0
1911-06-01,9.67,9.67,9.67,9.67,0.0
1911-07-01,9.63,9.63,9.63,9.63,0.0
1911-08-01,9.17,9.17,9.17,9.17,0.0
1911-09-01,8.67,8.67,8.67,8.67,0.0
1911-10-01,8.72,8.72,8.72,8.72,0.0
1911-11-01,9.07,9.07,9.07,9.07,0.0
1911-12-01,9.11,9.11,9.11,9.11,0.0
1912-01-01,9.12,9.12,9.12,9.12,0.0
1912-02-01,9.04,9.04,9.04,9.04,0.0
1912-03-01,9.3,9.3,9.3,9.3,0.0
1912-04-01,9.59,9.59,9.59,9.59,0.0
1912-05-01,9.58,9.58,9.58,9.58,0.0
1912-06-01,9.58,9.58,9.58,9.58,0.0
1912-07-01,9.59,9.59,9.59,9.59,0.0
1912-08-01,9.81,9.81,9.81,9.81,0.0
1912-09-01,9.86,9.86,9.86,9.86,0.0
1912-10-01,9.84,9.84,9.84,9.84,0.0
1912-11-01,9.73,9.73,9.73,9.73,0.0
1912-12-01,9.38,9.38,9.38,9.38,0.0
1913-01-01,9.3,9.3,9.3,9.3,0.0
1913-02-01,8.97,8.97,8.97,8.97,0.0
1913-03-01,8.8,8.8,8.8,8.8,0.0
1913-04-01,8.79,8.79,8.79,8.79,0.0
1913-05-01,8.55,8.55,8.55,8.55,0.0
1913-06-01,8.12,8.12,8.12,8.12,0.0
1913-07-01,8.23,8.23,8.23,8.23,0.0
1913-08-01,8.45,8.45,8.45,8.45,0.0
1913-09-01,8.53,8.53,8.53,8.53,0.0
1913-10-01,8.26,8.26,8.26,8.26,0.0
1913-11-01,8.05,8.05,8.05,8.05,0.0
